work_year,employee_residence,remote_ratio,company_location,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,company_size_L,company_size_M,company_size_S,salary_in_usd
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.851181823384943
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.813030057420567
2021,55,2,48,False,False,True,False,False,False,True,False,False,True,False,11.512925464970229
2021,55,2,48,True,False,False,False,False,False,True,False,True,False,False,12.506177237980511
2021,47,0,48,False,False,True,False,False,False,True,False,True,False,False,10.166044106207172
2022,55,1,48,False,False,True,False,False,False,True,False,False,True,False,11.938193200374572
2020,19,0,17,False,False,True,False,True,False,False,False,False,False,True,10.845855304120402
2021,19,1,17,False,False,True,False,True,False,False,False,False,True,False,10.812673102280236
2022,21,2,19,False,False,True,False,False,False,True,False,False,True,False,11.250781176306287
2021,19,1,17,False,False,True,False,True,False,False,False,False,True,False,10.987020043769144
2020,19,1,31,False,False,True,False,False,False,True,False,False,False,True,11.046531313714157
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.612770799939945
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.827692408230767
2021,51,1,45,False,False,True,False,False,False,True,False,True,False,False,10.11952592172029
2020,14,2,12,False,False,True,False,False,False,False,True,False,True,False,11.90672951309556
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.072541252905651
2020,14,2,12,False,False,True,False,False,False,True,False,False,False,True,10.990415173925399
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.626254150277232
2021,27,2,25,False,False,True,False,True,False,False,False,True,False,False,10.323118516117193
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.601668674804618
2020,20,1,18,False,False,True,False,False,False,False,True,False,True,False,11.599323320460693
2021,43,1,39,False,True,False,False,False,False,True,False,False,True,False,9.392661928770137
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.944707881395766
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.982929094215963
2021,35,0,32,False,False,True,False,False,False,True,False,False,False,True,9.798127036878302
2021,32,1,29,False,False,True,False,False,False,True,False,False,False,True,11.256276835098621
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,11.792978510257518
2021,55,1,48,False,False,True,False,False,False,True,False,True,False,False,11.77528972943772
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.141861783579396
2022,20,2,18,False,False,True,False,False,False,True,False,False,True,False,11.271185059123596
2021,20,1,18,False,False,True,False,True,False,False,False,True,False,False,11.32089290868107
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.634257750137753
2022,8,2,6,False,False,True,False,False,False,False,True,False,True,False,11.274554056125178
2022,46,2,31,False,False,True,False,True,False,False,False,False,True,False,9.210340371976184
2021,19,1,17,False,False,True,False,False,False,True,False,False,False,True,10.946199459239661
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.918890448120044
2022,55,2,48,False,False,True,False,False,False,True,False,False,True,False,11.982929094215963
2022,8,2,6,False,False,True,False,False,False,False,True,False,True,False,11.023535121924303
2021,27,2,1,False,False,True,False,True,False,False,False,False,False,True,9.801067154936659
2022,20,0,18,False,False,True,False,False,False,False,True,False,True,False,11.558873498872936
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.84939770159144
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.84939770159144
2020,8,1,6,False,False,True,False,False,False,False,True,True,False,False,11.670817707841008
2022,26,2,23,False,False,True,False,False,False,False,True,False,False,True,11.176669205024375
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.411114198823544
2020,0,0,0,False,False,True,False,False,False,True,False,True,False,False,11.652687407345388
2021,30,0,48,False,True,False,False,False,False,True,False,True,False,False,9.903487552536127
2021,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.84939770159144
2022,20,0,18,False,False,True,False,False,False,True,False,False,True,False,11.494333704279097
2022,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.279787683352454
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.310393037560129
2021,37,0,34,False,False,True,False,False,False,True,False,False,False,True,7.958227192322312
2022,55,0,48,False,False,True,False,False,False,True,False,False,True,False,11.50388472031808
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.512925464970229
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.016122061571728
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.660776342648958
2021,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.695247021764184
2021,14,0,12,False,False,True,False,False,True,False,False,True,False,False,11.862497241037852
2021,56,0,49,False,False,True,False,True,False,False,False,False,True,False,8.294049640102028
2021,4,1,4,False,False,True,False,False,False,False,True,False,True,False,11.32350678305764
2022,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.628929140726534
2021,33,2,30,False,False,True,False,True,False,False,False,False,False,True,9.134754385019587
2021,27,1,25,False,False,False,True,False,False,True,False,False,True,False,8.595819511871428
2020,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.928778628331663
2021,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.013700752882718
2022,55,0,48,False,False,True,False,False,False,True,False,False,True,False,12.239018907728791
2021,14,1,12,False,False,True,False,False,False,False,True,True,False,False,11.457032132929688
2022,20,0,18,False,False,True,False,False,False,True,False,False,True,False,11.088858408462402
2022,8,2,6,False,False,True,False,False,False,False,True,False,True,False,11.77528972943772
2021,20,1,6,False,False,True,False,False,False,True,False,True,False,False,10.901137048778104
2021,18,2,16,False,False,True,False,False,False,False,True,True,False,False,10.915088464214607
2022,9,0,7,False,False,True,False,False,False,True,False,True,False,False,11.714608375242802
2020,55,2,48,False,False,True,False,False,False,False,True,False,False,True,12.154779351142624
2021,55,2,48,False,False,True,False,True,False,False,False,False,False,True,11.407564949312402
2021,8,1,6,False,False,True,False,False,False,False,True,True,False,False,11.75368101060121
2021,55,2,48,False,False,True,False,False,False,False,True,False,False,True,12.4529327234617
2021,47,1,18,False,False,True,False,False,False,False,True,False,False,True,11.249389514346525
2021,51,2,45,False,False,True,False,False,False,False,True,True,False,False,11.540919937489686
2021,55,0,48,False,False,True,False,False,False,True,False,True,False,False,11.198214720130528
2021,19,1,17,False,False,True,False,False,False,False,True,False,True,False,11.260404594945342
2021,55,2,48,False,False,True,False,False,False,False,True,True,False,False,11.918390573078392
2022,55,2,48,False,False,True,False,True,False,False,False,False,True,False,11.695247021764184
2021,55,2,48,False,False,True,False,False,False,True,False,False,True,False,11.407564949312402
2022,21,2,19,False,False,True,False,False,False,True,False,False,True,False,10.403474651121124
2022,55,2,48,False,False,True,False,False,True,False,False,False,True,False,11.813030057420567
2021,27,2,48,False,False,True,False,False,True,False,False,True,False,False,11.918390573078392
2020,55,2,48,False,False,True,False,True,False,False,False,False,False,True,11.835008964139341
2022,55,2,48,False,False,True,False,False,False,False,True,True,False,False,12.120514757168527
2021,55,1,48,False,False,True,False,False,False,True,False,True,False,False,11.59910316121128
2021,14,1,12,False,False,True,False,False,False,False,True,True,False,False,11.063994244741828
2021,10,2,8,False,False,True,False,False,False,True,False,True,False,False,10.597584282131661
2022,14,1,12,False,False,False,True,False,False,True,False,True,False,False,10.91430634025357
2022,55,2,48,False,False,True,False,False,False,True,False,False,True,False,11.695247021764184
2020,55,2,48,False,False,True,False,False,False,True,False,True,False,False,11.608235644774552
2022,55,0,48,False,False,True,False,False,False,False,True,False,True,False,12.111432241376052
2022,43,2,12,False,False,True,False,True,False,False,False,False,True,False,10.968801555802724
2021,31,0,9,False,False,True,False,True,False,False,False,True,False,False,11.512925464970229
2022,21,0,19,False,False,True,False,False,False,True,False,False,True,False,10.91430634025357
2020,27,0,25,False,False,True,False,False,False,True,False,True,False,False,10.608588007213532
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.744037185933616
2021,18,2,16,False,False,True,False,False,False,True,False,False,False,True,10.763884952369743
2021,21,2,13,False,False,True,False,False,False,False,True,True,False,False,11.392496431747816
2021,55,0,48,False,False,True,False,False,False,False,True,True,False,False,11.695247021764184
2022,55,2,48,False,False,True,False,False,True,False,False,False,True,False,12.206072645530174
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.824812226118826
2021,55,2,48,False,False,True,False,True,False,False,False,False,True,False,11.289781913656018
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.700234563275222
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.492754217648372
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.951180395901384
2021,14,1,12,False,False,True,False,False,False,True,False,True,False,False,11.415687428042975
2022,20,2,18,False,False,True,False,False,False,True,False,False,True,False,10.57803787856365
2021,53,0,46,False,False,True,False,False,False,True,False,False,True,False,9.401208634738603
2021,55,2,48,False,False,True,False,False,False,False,True,True,False,False,11.938193200374572
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.078239274020289
2021,14,1,12,False,False,True,False,True,False,False,False,True,False,False,11.063994244741828
2022,18,2,16,False,False,True,False,False,False,True,False,False,True,False,10.403474651121124
2021,53,2,46,False,False,True,False,False,False,True,False,False,True,False,10.240531054525633
2021,55,2,48,False,False,True,False,False,False,False,True,False,True,False,12.043553716032399
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.83934736573794
2022,55,2,48,False,False,True,False,False,False,True,False,False,False,True,11.695247021764184
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.503380052126698
2021,55,0,48,False,False,True,False,False,False,True,False,False,False,True,11.608235644774552
2020,41,1,38,False,False,True,False,False,False,False,True,False,False,True,11.736069016284437
2021,14,1,12,False,False,True,False,False,False,True,False,True,False,False,11.392496431747816
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.88348161759012
2022,55,2,48,False,False,True,False,False,False,False,True,False,True,False,11.934919875029603
